,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,33,4,43,19,26,28,14,15,22,6,7,38,31,28,32,6,29,46,6,11
1,1,3,16,22,20,26,46,11,8,10,42,18,43,7,19,18,38,11,5,8,9
2,2,5,43,37,41,6,39,23,25,21,2,24,16,20,17,37,43,46,34,31,32
3,3,1,33,11,1,18,15,49,49,16,13,46,35,35,15,45,14,29,26,2,34
4,4,43,48,21,48,7,2,9,16,15,6,26,15,48,31,25,6,5,12,25,19
5,5,47,24,18,6,7,21,13,47,32,3,23,20,35,4,14,6,16,14,48,14
6,6,24,39,40,24,26,26,4,41,48,18,12,2,18,37,32,2,9,43,29,34
7,7,31,32,20,2,4,17,38,44,19,43,42,41,45,32,40,10,47,13,4,15
8,8,40,46,8,47,17,1,4,8,34,23,25,35,19,14,13,34,21,49,18,49
9,9,17,49,39,38,9,6,8,15,2,42,13,11,7,48,33,32,8,28,46,46
10,10,26,9,11,18,21,41,30,39,31,39,16,49,16,16,18,7,19,25,40,47
11,11,28,8,24,32,9,39,5,40,37,15,44,35,30,29,31,11,48,42,32,3
12,12,3,47,5,13,1,40,22,46,36,5,25,2,33,29,28,1,29,28,7,40
13,13,26,4,49,47,7,15,12,3,43,40,36,30,9,36,31,24,20,22,21,22
14,14,38,27,30,23,17,30,5,14,29,6,33,22,7,5,35,16,8,3,38,41
15,15,34,14,46,25,40,19,39,43,1,24,15,8,12,26,42,9,29,39,33,49
16,16,5,40,20,8,26,41,24,7,47,18,29,37,34,49,49,32,4,34,31,29
17,17,23,27,15,48,14,1,10,40,25,38,34,49,20,13,31,24,1,37,40,28
18,18,30,19,47,16,23,27,27,33,42,45,41,10,25,39,38,18,28,41,9,28
19,19,44,44,5,28,32,49,22,41,27,33,7,10,8,7,41,2,38,48,34,5
20,20,12,25,3,7,16,18,12,12,42,24,24,44,33,7,30,26,41,25,35,47
21,21,35,24,14,29,12,39,5,21,17,33,13,41,15,43,45,44,45,31,20,28
22,22,40,30,41,6,37,32,42,7,2,20,23,5,20,31,21,26,18,22,4,19
23,23,18,40,20,37,19,49,45,30,35,12,7,39,41,27,40,46,33,1,32,12
24,24,33,40,24,22,15,40,20,6,41,20,5,2,39,22,18,31,19,44,36,4
25,25,34,6,36,32,24,35,22,19,26,38,31,30,13,28,23,39,38,35,31,35
26,26,1,49,21,13,6,37,12,32,47,22,26,10,38,14,31,30,46,32,6,1
27,27,28,2,47,25,6,4,47,48,20,1,16,27,24,44,44,34,35,47,6,2
28,28,1,19,27,31,2,39,45,36,45,31,22,44,2,14,6,48,16,27,22,27
29,29,33,30,13,6,21,35,30,21,34,39,3,8,29,23,40,48,18,6,22,42
30,30,16,35,45,8,39,34,17,38,10,8,21,34,13,14,29,45,18,2,25,7
31,31,11,9,25,11,41,17,22,24,17,44,14,27,26,28,32,48,46,48,12,33
32,32,13,24,46,6,43,9,49,26,48,2,28,40,14,38,14,25,43,11,44,23
33,33,6,7,31,40,40,46,43,36,35,22,2,11,21,14,7,13,9,19,31,10
34,34,6,4,40,2,18,42,6,10,15,14,21,24,17,19,28,36,5,42,17,21
35,35,37,44,2,15,33,5,6,11,38,31,34,12,39,4,19,36,1,31,27,10
36,36,49,49,2,2,6,40,29,20,4,36,7,19,4,8,2,30,21,49,12,46
37,37,23,45,16,48,28,25,37,48,31,36,14,35,40,13,42,32,17,19,34,16
38,38,22,38,37,14,26,23,10,39,46,14,47,47,7,46,20,28,42,28,39,29
39,39,37,45,39,15,24,20,11,11,15,4,39,33,39,19,27,11,13,49,27,31
40,40,40,32,20,12,49,6,24,47,25,40,18,33,49,19,1,37,6,21,1,27
41,41,1,49,26,35,38,28,41,3,4,34,39,21,15,21,26,28,39,9,39,3
42,42,1,12,6,37,23,11,27,17,16,20,5,40,49,32,18,46,42,41,27,22
