,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,15,15,14,21,18,5,15,12,3,12
1,1,15,13,17,16,21,18,2,4,12,9
2,2,22,15,10,20,2,22,2,11,24,23
3,3,10,7,17,4,3,23,11,18,4,16
4,4,6,5,6,14,11,22,8,11,21,5
5,5,23,2,8,17,17,3,4,11,3,13
6,6,22,1,23,19,9,4,4,10,23,19
7,7,23,14,3,19,23,14,18,18,21,15
8,8,2,24,20,14,20,2,11,3,10,4
9,9,23,8,21,22,21,17,22,23,12,6
10,10,22,23,3,18,15,19,2,18,3,16
11,11,10,7,17,22,16,2,9,23,23,17
12,12,13,20,15,10,6,3,3,15,3,22
13,13,20,10,17,12,3,1,23,8,7,22
14,14,8,16,17,5,3,4,11,6,18,17
15,15,17,19,17,19,24,24,20,13,18,9
16,16,7,12,8,6,7,2,8,24,11,2
17,17,22,9,15,11,15,17,11,24,3,5
18,18,19,8,18,20,16,21,6,1,18,5
19,19,21,17,2,10,12,12,13,12,20,11
20,20,6,14,9,12,8,16,3,4,1,9
21,21,3,14,22,24,11,9,5,21,13,23
22,22,1,2,14,22,6,19,15,22,7,22
23,23,5,19,16,10,7,10,18,17,1,20
24,24,5,14,3,24,20,10,15,13,17,4
25,25,11,20,14,14,19,10,14,2,3,13
26,26,15,3,6,20,4,8,11,22,24,19
27,27,15,2,22,6,16,10,19,15,20,8
28,28,7,5,23,12,3,23,15,11,6,9
29,29,8,11,18,6,17,20,23,17,12,24
30,30,21,7,22,3,5,15,16,17,1,20
31,31,3,15,21,10,13,8,24,18,20,13
32,32,6,8,6,19,7,2,14,19,15,1
33,33,14,14,20,15,1,20,22,11,14,19
34,34,5,21,9,16,18,19,1,17,11,16
35,35,13,21,16,23,8,2,22,10,17,1
36,36,4,23,21,11,18,15,12,18,13,13
37,37,24,18,11,16,14,14,20,15,8,13
38,38,22,5,16,5,16,13,24,19,13,8
39,39,21,13,20,5,16,16,8,6,20,19
40,40,6,18,10,15,7,24,21,15,17,19
41,41,6,22,8,20,19,21,19,1,1,12
42,42,6,21,23,19,18,14,18,21,23,7
43,43,6,12,2,16,23,20,15,6,6,23
44,44,21,16,24,18,20,17,5,8,10,11
45,45,22,24,2,11,18,6,1,10,14,22
46,46,7,2,9,22,1,5,20,1,11,3
47,47,21,21,19,1,8,6,6,21,23,23
48,48,16,7,14,8,12,17,1,24,12,2
49,49,13,24,24,17,6,18,5,7,10,6
50,50,12,17,15,20,12,17,5,11,17,5
51,51,11,16,14,6,12,14,5,2,7,2
52,52,6,7,7,20,3,17,12,23,5,21
53,53,16,18,23,11,7,9,8,15,11,16
54,54,15,3,21,5,16,4,14,23,22,23
55,55,5,14,11,1,9,20,14,11,4,4
56,56,5,11,11,3,1,8,16,10,9,20
57,57,1,9,13,22,14,19,11,2,20,19
58,58,10,12,24,18,24,6,5,4,10,6
59,59,16,16,5,1,14,14,12,6,24,17
60,60,20,12,2,23,9,1,6,14,1,16
61,61,7,4,14,2,7,9,3,10,4,21
62,62,8,4,22,4,11,14,8,10,18,23
63,63,5,16,24,9,16,13,11,23,24,10
64,64,14,4,10,21,14,14,24,5,24,6
65,65,13,20,19,4,6,11,1,19,19,23
66,66,7,15,15,9,21,3,1,10,22,15
67,67,8,10,21,7,24,24,14,1,13,3
68,68,15,17,6,22,22,22,14,5,16,5
69,69,23,11,21,9,3,4,11,8,17,11
70,70,18,2,14,17,6,3,3,17,21,13
71,71,5,12,21,16,24,5,8,13,5,19
72,72,24,21,22,11,15,11,4,2,7,18
73,73,6,17,18,13,18,3,21,22,6,14
74,74,8,19,4,8,7,17,18,23,5,17
75,75,1,19,16,24,9,8,14,16,24,10
76,76,13,13,4,18,9,19,22,6,13,2
77,77,9,20,14,19,12,16,12,22,4,2
78,78,12,24,3,24,1,19,22,10,8,23
79,79,15,19,12,2,18,6,1,10,19,19
80,80,4,5,2,23,2,9,1,8,8,19
81,81,8,6,22,19,17,20,17,6,14,21
82,82,14,17,17,18,18,22,15,9,8,24
83,83,13,20,17,17,12,24,14,12,2,18
84,84,20,20,12,19,13,17,4,10,2,15
85,85,10,11,2,18,16,21,11,13,11,19
86,86,16,2,19,21,16,18,4,12,3,24
87,87,21,15,8,9,23,1,17,16,3,5
88,88,20,16,7,14,11,6,19,8,6,10
89,89,13,19,8,1,9,22,7,16,16,19
90,90,21,21,4,19,15,8,16,15,3,13
91,91,19,8,9,19,3,12,19,4,11,15
92,92,23,18,1,13,18,10,22,10,6,8
93,93,21,4,15,18,5,3,17,4,23,23
94,94,13,8,14,22,16,3,10,17,18,18
95,95,20,13,2,12,11,16,5,21,4,14
96,96,4,15,14,12,15,17,10,16,15,15
97,97,11,1,3,23,14,1,15,22,2,17
98,98,16,8,13,18,4,6,2,15,2,20
99,99,24,10,14,3,21,3,9,7,1,12
100,100,6,22,6,8,6,11,5,11,21,8
101,101,2,5,1,7,23,19,23,22,23,19
102,102,8,6,17,14,22,17,24,5,3,3
103,103,14,16,7,20,11,11,1,9,19,9
104,104,8,15,4,15,15,11,14,13,16,22
105,105,8,14,10,14,16,3,12,21,24,10
106,106,1,17,8,4,24,1,3,18,18,12
107,107,21,10,11,2,19,18,19,22,23,4
108,108,15,1,19,11,23,1,2,7,5,8
109,109,20,13,6,24,10,1,1,8,13,13
110,110,16,3,13,22,1,5,22,19,22,13
111,111,23,3,9,19,24,7,4,1,17,5
112,112,1,20,22,23,8,18,14,2,16,22
113,113,7,12,10,3,14,6,2,16,6,13
114,114,18,9,11,14,4,6,19,6,11,2
115,115,1,2,21,6,21,24,13,2,16,15
116,116,9,23,19,9,15,15,5,12,24,13
117,117,16,5,9,8,4,13,20,8,23,1
118,118,3,21,3,19,10,22,11,1,4,17
119,119,8,2,13,16,20,17,20,17,10,2
120,120,15,2,7,16,11,12,8,22,2,18
121,121,4,9,1,3,12,22,16,6,22,20
122,122,4,18,9,4,9,17,2,15,15,5
123,123,7,13,11,19,10,3,5,7,1,12
124,124,18,17,5,19,22,5,23,23,21,15
125,125,15,9,5,24,7,4,11,10,8,4
126,126,17,10,19,16,5,20,23,3,5,3
127,127,24,22,9,1,20,11,17,10,12,1
128,128,20,19,5,9,12,23,20,7,23,9
129,129,3,10,19,3,7,23,22,4,21,14
130,130,13,22,8,17,9,1,11,4,7,1
131,131,13,17,6,5,18,6,11,5,12,11
132,132,14,11,13,11,8,13,2,14,9,11
133,133,22,23,19,20,21,12,5,22,18,9
134,134,24,10,7,7,8,18,5,19,20,22
135,135,11,6,18,1,17,20,22,9,14,23
136,136,24,2,7,20,13,12,4,11,3,9
137,137,2,1,23,24,13,24,2,19,15,24
